	niche	taxon	asv1	asv2	treedist
32	Gall	Sphingomonas	74906b90	27b86bff	0.4600090332928943
33	Gall	Flavisolibacter_unc_b	41024a09	fe2d975f	0.14953216183223497
34	Gall	Nocardioides	8a2ba21f	54c9c8c8	0.3308563902213706
35	Gall	Nocardioides	8a2ba21f	1a014765	0.13405592771574218
36	Gall	Nocardioides	8a2ba21f	7fc8531c	0.27420733046213286
37	Gall	Nocardioides	54c9c8c8	1a014765	0.28708729339252104
38	Gall	Nocardioides	54c9c8c8	7fc8531c	0.4978078169000078
39	Gall	Nocardioides	1a014765	7fc8531c	0.3010073543943795
40	Gall	WD2101_soil_group	f81015e3	c8e286a4	0.2660217083668511
41	Gall	Bacillus	c2b81fd4	a2958635	0.19030237340102182
42	Gall	Bacillus	c2b81fd4	40487032	0.11302825650911588
43	Gall	Bacillus	c2b81fd4	fa61cd2e	0.16812978562715955
44	Gall	Bacillus	a2958635	40487032	0.1911900302128589
45	Gall	Bacillus	a2958635	fa61cd2e	0.20446211375177245
46	Gall	Bacillus	40487032	fa61cd2e	0.16901744243899672
47	Gall	D05-2_unc_b	5a73d199	52f2f356	0.056437975904230324
48	Gall	Herpetosiphon_unc_b	4e0fa96e	05640720	0.2845881764419684
49	Root	Sphingobium	6f61f108	a3378306	0.0626303155559113
50	Root	Devosia	674e0277	4bbfa312	0.38591879066001933
51	Root	Devosia	674e0277	80244e17	0.188522351733609
52	Root	Devosia	674e0277	60335b6a	0.057758145995032345
53	Root	Devosia	674e0277	56878dbd	0.3991237284347153
54	Root	Devosia	674e0277	602b60f7	0.149634905669004
55	Root	Devosia	4bbfa312	80244e17	0.23265787812295194
56	Root	Devosia	4bbfa312	60335b6a	0.35086737274196234
57	Root	Devosia	4bbfa312	56878dbd	0.21928216469501124
58	Root	Devosia	4bbfa312	602b60f7	0.30862267404392996
59	Root	Devosia	80244e17	60335b6a	0.15347093381555213
60	Root	Devosia	80244e17	56878dbd	0.2458628158976479
61	Root	Devosia	80244e17	602b60f7	0.11122623511751978
62	Root	Devosia	60335b6a	56878dbd	0.36407231051665834
63	Root	Devosia	60335b6a	602b60f7	0.11458348775094718
64	Root	Devosia	56878dbd	602b60f7	0.32182761181862596
65	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	df17a246	0.1794881819026066
66	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	a7ff3454	0.08774197259608424
67	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	33b9d83d	0.1778045275482229
68	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	2462a3af	0.1663440084741972
69	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	a7ff3454	0.2401447691823788
70	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	33b9d83d	0.11601272460626806
71	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	2462a3af	0.10455220553224236
72	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	a7ff3454	33b9d83d	0.2384611148279952
73	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	a7ff3454	2462a3af	0.2270005957539695
74	Root	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	33b9d83d	2462a3af	0.05115156979152328
75	Root	Streptomyces	f03c4b8a	273c74cb	0.17938257366397806
76	Root	Streptomyces	f03c4b8a	6ed881b8	0.07284177617911665
77	Root	Streptomyces	273c74cb	6ed881b8	0.13991108340643332
78	Root	Microbacterium	44b45532	43a086e5	0.048483374996160455
79	Root	Sphingomonas	68c87174	27b86bff	0.09967062047062375
80	Root	Sphingomonas	68c87174	61ca3570	0.035793321106206345
81	Root	Sphingomonas	68c87174	74906b90	0.3655066625053688
82	Root	Sphingomonas	68c87174	cee7da22	0.21267054181760253
83	Root	Sphingomonas	27b86bff	61ca3570	0.0889681622319997
84	Root	Sphingomonas	27b86bff	74906b90	0.3722926078324766
85	Root	Sphingomonas	27b86bff	cee7da22	0.1570939458954533
86	Root	Sphingomonas	61ca3570	74906b90	0.35480420426674475
87	Root	Sphingomonas	61ca3570	cee7da22	0.20196808357897847
88	Root	Sphingomonas	74906b90	cee7da22	0.4852925291794555
